"country","outcome","n_units","arm","spearman","mae_pp","degenerate"
"Gambia","child_vitA",6,"null_train_mean",NA,8.21,TRUE
"Gambia","child_vitA",6,"spatial",NA,8.21,TRUE
"Gambia","child_vitA",6,"spatial_plus_domain",NA,8.21,TRUE
"Gambia","child_vitA",6,"domain_index",NA,4.14,TRUE
"Gambia","child_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_vitA",6,"null_train_mean",NA,1.83,TRUE
"Gambia","women_vitA",6,"spatial",NA,1.83,TRUE
"Gambia","women_vitA",6,"spatial_plus_domain",NA,1.83,TRUE
"Gambia","women_vitA",6,"domain_index",NA,0.64,TRUE
"Gambia","women_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","child_iron",6,"null_train_mean",NA,8.39,TRUE
"Gambia","child_iron",6,"spatial",NA,8.39,TRUE
"Gambia","child_iron",6,"spatial_plus_domain",NA,8.39,TRUE
"Gambia","child_iron",6,"domain_index",NA,5.28,TRUE
"Gambia","child_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_iron",6,"null_train_mean",NA,10.78,TRUE
"Gambia","women_iron",6,"spatial",NA,10.78,TRUE
"Gambia","women_iron",6,"spatial_plus_domain",NA,10.78,TRUE
"Gambia","women_iron",6,"domain_index",NA,4.74,TRUE
"Gambia","women_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Ghana","child_vitA",16,"null_train_mean",-1,6.38,FALSE
"Ghana","child_vitA",16,"spatial",0.038,7.14,FALSE
"Ghana","child_vitA",16,"spatial_plus_domain",0.026,7.19,FALSE
"Ghana","child_vitA",16,"domain_index",0.529,6.74,FALSE
"Ghana","child_vitA",16,"DIFF spatial+dom vs spatial",NA,-0.05,FALSE
"Ghana","women_vitA",16,"null_train_mean",-0.977,1.44,FALSE
"Ghana","women_vitA",16,"spatial",0.525,1.14,FALSE
"Ghana","women_vitA",16,"spatial_plus_domain",0.525,1.14,FALSE
"Ghana","women_vitA",16,"domain_index",0.565,1.05,FALSE
"Ghana","women_vitA",16,"DIFF spatial+dom vs spatial",NA,0,FALSE
"Ghana","child_iron",16,"null_train_mean",-1,11.32,FALSE
"Ghana","child_iron",16,"spatial",0.515,10.67,FALSE
"Ghana","child_iron",16,"spatial_plus_domain",0.362,14.24,FALSE
"Ghana","child_iron",16,"domain_index",0.606,11.28,FALSE
"Ghana","child_iron",16,"DIFF spatial+dom vs spatial",NA,-3.57,FALSE
