"country","outcome","n_units","arm","spearman","mae_pp","degenerate"
"Gambia","child_vitA",6,"null_train_mean",NA,8.21,TRUE
"Gambia","child_vitA",6,"spatial",NA,8.21,TRUE
"Gambia","child_vitA",6,"spatial_plus_domain",NA,8.21,TRUE
"Gambia","child_vitA",6,"domain_index",NA,4.08,TRUE
"Gambia","child_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_vitA",6,"null_train_mean",NA,1.83,TRUE
"Gambia","women_vitA",6,"spatial",NA,1.83,TRUE
"Gambia","women_vitA",6,"spatial_plus_domain",NA,1.83,TRUE
"Gambia","women_vitA",6,"domain_index",NA,0.63,TRUE
"Gambia","women_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","child_iron",6,"null_train_mean",NA,8.39,TRUE
"Gambia","child_iron",6,"spatial",NA,8.39,TRUE
"Gambia","child_iron",6,"spatial_plus_domain",NA,8.39,TRUE
"Gambia","child_iron",6,"domain_index",NA,4.92,TRUE
"Gambia","child_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_iron",6,"null_train_mean",NA,10.78,TRUE
"Gambia","women_iron",6,"spatial",NA,10.78,TRUE
"Gambia","women_iron",6,"spatial_plus_domain",NA,10.78,TRUE
"Gambia","women_iron",6,"domain_index",NA,4.83,TRUE
"Gambia","women_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Ghana","child_vitA",16,"null_train_mean",-1,6.38,FALSE
"Ghana","child_vitA",16,"spatial",0.038,7.14,FALSE
"Ghana","child_vitA",16,"spatial_plus_domain",0.076,7.13,FALSE
"Ghana","child_vitA",16,"domain_index",0.556,6.96,FALSE
"Ghana","child_vitA",16,"DIFF spatial+dom vs spatial",NA,0,FALSE
"Ghana","women_vitA",16,"null_train_mean",-0.977,1.44,FALSE
"Ghana","women_vitA",16,"spatial",0.525,1.14,FALSE
"Ghana","women_vitA",16,"spatial_plus_domain",0.494,1.16,FALSE
"Ghana","women_vitA",16,"domain_index",0.565,1.06,FALSE
"Ghana","women_vitA",16,"DIFF spatial+dom vs spatial",NA,-0.02,FALSE
"Ghana","child_iron",16,"null_train_mean",-1,11.32,FALSE
"Ghana","child_iron",16,"spatial",0.515,10.67,FALSE
"Ghana","child_iron",16,"spatial_plus_domain",0.524,12.49,FALSE
"Ghana","child_iron",16,"domain_index",0.606,11.05,FALSE
"Ghana","child_iron",16,"DIFF spatial+dom vs spatial",NA,-1.82,FALSE
