"target","outcome","heldout","arm","n_domains","spearman"
"level","child_vitA","Gambia","full",21,0.612903225806452
"level","child_vitA","Gambia","nested",2,0.608008898776418
"level","child_vitA","Gambia","fixed_cs",2,0.78420467185762
"level","child_vitA","Gambia","fixed_csa",3,0.765962180200222
"level","child_vitA","Ghana","full",21,0.366543385490754
"level","child_vitA","Ghana","nested",5,0.373285917496444
"level","child_vitA","Ghana","fixed_cs",2,0.290867709815078
"level","child_vitA","Ghana","fixed_csa",3,0.298634423897582
"level","child_vitA","Malawi","full",21,0.261190493548152
"level","child_vitA","Malawi","nested",4,0.268735875191368
"level","child_vitA","Malawi","fixed_cs",2,0.225632426915506
"level","child_vitA","Malawi","fixed_csa",3,0.250291608952395
"level","child_vitA","SierraLeone","full",21,0.0417582417582418
"level","child_vitA","SierraLeone","nested",5,0.116483516483516
"level","child_vitA","SierraLeone","fixed_cs",2,0.397802197802198
"level","child_vitA","SierraLeone","fixed_csa",3,0.358241758241758
"level","women_vitA","Gambia","full",21,0.769076751946607
"level","women_vitA","Gambia","nested",5,0.723692992213571
"level","women_vitA","Gambia","fixed_cs",2,0.745494994438265
"level","women_vitA","Gambia","fixed_csa",3,0.723248053392659
"level","women_vitA","Ghana","full",21,0.307596017069701
"level","women_vitA","Ghana","nested",4,0.414139402560455
"level","women_vitA","Ghana","fixed_cs",2,0.43448079658606
"level","women_vitA","Ghana","fixed_csa",3,0.43103840682788
"level","women_vitA","Malawi","full",21,0.240796092440038
"level","women_vitA","Malawi","nested",4,0.0480061237880003
"level","women_vitA","Malawi","fixed_cs",2,0.206732521688416
"level","women_vitA","Malawi","fixed_csa",3,0.157487059852737
"level","women_vitA","SierraLeone","full",21,-0.0241758241758242
"level","women_vitA","SierraLeone","nested",5,0.010989010989011
"level","women_vitA","SierraLeone","fixed_cs",2,0.38021978021978
"level","women_vitA","SierraLeone","fixed_csa",3,0.402197802197802
"level","child_iron","Gambia","full",21,0.420689655172414
"level","child_iron","Gambia","nested",5,0.416240266963293
"level","child_iron","Gambia","fixed_cs",2,0.536373748609566
"level","child_iron","Gambia","fixed_csa",3,0.575083426028921
"level","child_iron","Ghana","full",21,0.553684210526316
"level","child_iron","Ghana","nested",4,0.518890469416785
"level","child_iron","Ghana","fixed_cs",2,0.567368421052632
