"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"SierraLeone","child_vitA","survey_only",486,14,0.125514403292181,80,"SL.asl_ranger 1;SL.mean 4",0.454657666345227,0.111420228618439,-0.01512101518846,0.130460359401395,1.03940548637833,0.00565584628018313
"SierraLeone","child_vitA","proxies_only",486,14,0.125514403292181,74,"SL.asl_ranger 4;SL.mean 1",0.45556412729026,0.111089093374475,-0.0121041272392466,0.111924317311954,0.891724888747697,-0.0155406630268012
"SierraLeone","child_vitA","both",486,14,0.125514403292181,154,"SL.mean 5",0.433751205400193,0.110440854708721,-0.00619819165983193,0.103166082005519,0.821946161552166,-0.0255559626948657
"SierraLeone","women_vitA","survey_only",774,14,0.0180878552971576,80,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","proxies_only",774,14,0.0180878552971576,74,"SL.asl_ranger 1;SL.mean 4",0.346804511278196,0.0178286636251515,-0.00382748965237378,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","both",774,14,0.0180878552971576,154,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","child_iron","survey_only",486,14,0.0576131687242798,80,"SL.asl_enet 1;SL.mean 4",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","child_iron","proxies_only",486,14,0.0576131687242798,74,"SL.mean 5",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","child_iron","both",486,14,0.0576131687242798,154,"SL.mean 5",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","women_iron","survey_only",774,14,0.17312661498708,80,"SL.asl_enet 2;SL.mean 3",0.44892140858209,0.14343000885452,-0.00192952407334945,0.151230537326556,0.873525640975779,-0.0264805689206962
"SierraLeone","women_iron","proxies_only",774,14,0.17312661498708,74,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.474137126865672,0.143677159390598,-0.00365599275981854,0.163752877772069,0.945856174593889,-0.0113363634444044
"SierraLeone","women_iron","both",774,14,0.17312661498708,154,"SL.mean 5",0.44892140858209,0.14343000885452,-0.00192952407334945,0.151230537326556,0.873525640975779,-0.0264805689206962
"SierraLeone","women_folate","survey_only",766,14,0.793733681462141,80,"SL.mean 5",0.398218895736176,0.165645032862557,-0.0117548395059801,0.742804183273508,0.935835533532084,-0.24691136463603
"SierraLeone","women_folate","proxies_only",766,14,0.793733681462141,74,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.409981887075283,0.168653423774567,-0.0301300000028104,0.75822201862757,0.955259977415656,-0.172164137539754
"SierraLeone","women_folate","both",766,14,0.793733681462141,154,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.399416014323784,0.170660534140821,-0.0423893692780999,0.741205459335069,0.933821351728064,-0.254662140185676
