"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Ghana","child_vitA","survey_only",1165,75,0.149356223175966,73,"SL.asl_enet 2;SL.asl_ranger 2;SL.mean 1",0.56793613788464,0.12547395030748,0.012396730308003,0.209942172333104,1.40564730326475,0.0712236435601076
"Ghana","child_vitA","proxies_only",1165,75,0.149356223175966,101,"SL.asl_enet 2;SL.asl_ranger 3",0.599539533966619,0.125218721288044,0.014405633458798,0.21033052904422,1.40824750768113,0.071680188028775
"Ghana","child_vitA","both",1165,75,0.149356223175966,174,"SL.asl_enet 3;SL.asl_ranger 2",0.615275989654013,0.122979985765471,0.0320266816257725,0.257501293807879,1.72407475451827,0.127133206141452
"Ghana","women_vitA","survey_only",992,75,0.0151209677419355,80,"SL.asl_enet 2;SL.mean 3",0.283248038212214,0.015050067369253,-0.0105922549066229,0.00935949008908685,0.61897427789161,-0.00584993432100906
"Ghana","women_vitA","proxies_only",992,75,0.0151209677419355,101,"SL.mean 5",0.306175366769021,0.0149924913098475,-0.006726098146282,0.0096873330056856,0.640655622776008,-0.00551705799218003
"Ghana","women_vitA","both",992,75,0.0151209677419355,181,"SL.asl_enet 2;SL.mean 3",0.264414875469123,0.0150391613061393,-0.00985992709414507,0.00912773064799218,0.603647253520549,-0.00608525199303149
"Ghana","child_iron","survey_only",1165,75,0.23862660944206,73,"SL.asl_enet 5",0.759832269471908,0.155885797997814,0.141994670469603,0.44899800007968,1.88159233846341,0.276305152303074
"Ghana","child_iron","proxies_only",1165,75,0.23862660944206,101,"SL.asl_enet 1;SL.asl_ranger 4",0.677459385366566,0.172243821065936,0.0519590729148628,0.353730673394731,1.48236055577289,0.151179520298604
"Ghana","child_iron","both",1165,75,0.23862660944206,174,"SL.asl_enet 2;SL.asl_ranger 3",0.760152644513476,0.155766662771694,0.142650398318183,0.453167835646714,1.89906664938281,0.281781881091795
"Ghana","women_iron","survey_only",981,75,0.135575942915392,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.571876329975883,0.116401435714114,0.00677221879636747,0.177036796870693,1.30581276488835,0.0479635586440447
"Ghana","women_iron","proxies_only",981,75,0.135575942915392,101,"SL.asl_enet 1;SL.asl_ranger 4",0.570293658674989,0.11574694785622,0.0123568193550542,0.17963571592007,1.32498223547059,0.0509700911764023
"Ghana","women_iron","both",981,75,0.135575942915392,181,"SL.asl_enet 2;SL.asl_ranger 3",0.601321996027805,0.115993204535494,0.010255565417235,0.188891000835274,1.39324866029627,0.0616769714851459
"Ghana","women_folate","survey_only",475,75,0.547368421052632,80,"SL.asl_ranger 4;SL.mean 1",0.540500894454383,0.250853199111448,-0.0125000545531382,0.560657780211884,1.02427863692556,0.0293602120960231
"Ghana","women_folate","proxies_only",475,75,0.547368421052632,101,"SL.asl_ranger 4;SL.mean 1",0.517692307692308,0.250441599833139,-0.0108387470903739,0.566814615483879,1.03552670136478,0.0429625225806638
"Ghana","women_folate","both",475,75,0.547368421052632,181,"SL.asl_ranger 3;SL.mean 2",0.496735241502683,0.24868107270406,-0.0037328627701898,0.572041663047115,1.04507611518223,0.0545106509180447
"Ghana","women_b12","survey_only",473,75,0.0845665961945032,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.596102771362587,0.0769969058849764,0.00540180388337808,0.15203346785949,1.79779575743846,0.073699377130574
"Ghana","women_b12","proxies_only",473,75,0.0845665961945032,101,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.562846420323326,0.0769296015507624,0.00627119946013222,0.176065190827994,2.08197088154103,0.0999511206966313
"Ghana","women_b12","both",473,75,0.0845665961945032,181,"SL.asl_ranger 3;SL.mean 2",0.520092378752887,0.0772118048976706,0.00262587194278663,0.122151825019615,1.44444533085694,0.0410573053909415
