"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national"
"Gambia","child_vitA","infill","null_train_mean",1,30,0.0885771838774898,0.442885919387449,0.121924657236869,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",1,30,0.189188328869542,0.945941644347709,0.24590283900049,0.15859284237015
"Gambia","child_vitA","infill","spatial",1,30,0.166587606470977,0.832938032354887,0.285101426282982,0.15859284237015
"Gambia","child_vitA","infill","domain_index",1,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",1,30,0.166587606470977,0.832938032354887,0.285101426282982,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",2,30,0.064228412460843,0.321142062304215,0.0958489285016558,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",2,30,0.104310492555093,0.521552462775467,0.214029381040368,0.15859284237015
"Gambia","child_vitA","infill","spatial",2,30,0.251462114497976,1.25731057248988,0.270386763591378,0.15859284237015
"Gambia","child_vitA","infill","domain_index",2,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",2,30,0.251462114497976,1.25731057248988,0.270386763591378,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",3,30,0.11868503630559,0.593425181527952,0.136365203803564,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",3,30,0.166748973137391,0.833744865686956,0.277956512900724,0.15859284237015
"Gambia","child_vitA","infill","spatial",3,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015
"Gambia","child_vitA","infill","domain_index",3,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",3,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",4,30,0.326098508726723,1.63049254363361,0.12532387236931,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",4,30,0.189185000582092,0.945925002910457,0.227095318977743,0.15859284237015
"Gambia","child_vitA","infill","spatial",4,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015
"Gambia","child_vitA","infill","domain_index",4,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",4,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",5,30,0.0875809564590361,0.43790478229518,0.0882636580378221,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",5,30,0.164076168682701,0.820380843413503,0.247332765500795,0.15859284237015
"Gambia","child_vitA","infill","spatial",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","domain_index",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",5,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",6,30,0.268007313058553,1.34003656529276,0.145646607176053,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",6,30,0.153014520677015,0.765072603385076,0.233258366153437,0.15859284237015
"Gambia","child_vitA","infill","spatial",6,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015
"Gambia","child_vitA","infill","domain_index",6,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",6,30,0.180318730643903,0.901593653219516,0.3046258153253,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",7,30,0.0668043999158885,0.334021999579443,0.082288069578313,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",7,30,0.164564045525942,0.82282022762971,0.240159357381963,0.15859284237015
"Gambia","child_vitA","infill","spatial",7,30,0.165793398215829,0.828966991079147,0.29199396656183,0.15859284237015
"Gambia","child_vitA","infill","domain_index",7,30,0.179524522388755,0.897622611943776,0.311987301608982,0.15859284237015
"Gambia","child_vitA","infill","spatial_plus_domain",7,30,0.165793398215829,0.828966991079147,0.29199396656183,0.15859284237015
"Gambia","child_vitA","infill","null_train_mean",8,30,0.154427039500364,0.772135197501822,0.169149929132785,0.15859284237015
"Gambia","child_vitA","infill","region_mean_jk",8,30,0.162685449326399,0.813427246631997,0.212601485821355,0.15859284237015
"Gambia","child_vitA","infill","spatial",8,30,0.211671628613951,1.05835814306975,0.239029048515117,0.15859284237015
"Gambia","child_vitA","infill","domain_index",8,30,0.127422423484596,0.637112117422978,0.240867708402166,0.15859284237015
