survey,country,survey_year,outcome_tag,population,biomarker,specimen,source_specimen,instrument_or_kit,source_instrument,laboratory,source_laboratory,adjustment_applied,source_adjustment,cutoff,cutoff_scale,cutoff_units,source_cutoff,raw_column,configured_continuous_column,configured_binary_column,uniform_cutoff_applied,source_columns,microdata_file,generated_by,survey_inflammation_adjustment,survey_cutoff,rbp_retinol_comparison
Gambia 2018,Gambia,2018,child_vitA,children,retinol-binding protein (RBP),serum (venous; shipped on dry ice to Germany),"RBP = 0.978 x retinol + 0.0153, R2 = 0.906, n = 14 (Figure A9-1; RBP on retinol, both umol/L); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (report pp. 32-35 (2.5.7, 2.6.3), p. 142 (7.9))",sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),"RBP = 0.978 x retinol + 0.0153, R2 = 0.906, n = 14 (Figure A9-1; RBP on retinol, both umol/L); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (report pp. 32-35 (2.5.7, 2.6.3), p. 142 (7.9))",VitMin Laboratory (Willstaett,"RBP = 0.978 x retinol + 0.0153, R2 = 0.906, n = 14 (Figure A9-1; RBP on retinol, both umol/L); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (report pp. 32-35 (2.5.7, 2.6.3), p. 142 (7.9))",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_cRBP,gw_cRBPAdjThurn,gw_cVAD_Thurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Gambia/Gambia_merged_dataset.rds,scripts/build_assay_lineage.R,Germany; VITAL-EQA participant),BRINDA regression for children; none for women (report follows BRINDA guidance),RBP < 0.70 umol/L
Gambia 2018,Gambia,2018,women_vitA,women,retinol-binding protein (RBP),serum (venous),"as above (14 samples pooled); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35, 142)",sandwich ELISA (Erhardt),"as above (14 samples pooled); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35, 142)",VitMin Laboratory (Willstaett,"as above (14 samples pooled); metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35, 142)",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_wRBP,gw_wRBPAdjThurn,gw_wVAD_Thurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Gambia/Gambia_merged_dataset.rds,scripts/build_assay_lineage.R,Germany),none (BRINDA does not adjust RBP in women); Thurnham comparison in appendix,RBP < 0.70 umol/L
Gambia 2018,Gambia,2018,child_iron,children,serum ferritin,serum (venous),NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),sandwich ELISA (Erhardt),NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),VitMin Laboratory (Willstaett,NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),"survey-provided, not harmonized (configured column gw_LogFerAdj); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),2.4849066497880004,log,ug/L,R/config.R outcome definition,gw_cFER,gw_LogFerAdj,gw_cIDA_Brinda,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Gambia/Gambia_merged_dataset.rds,scripts/build_assay_lineage.R,Germany),BRINDA regression (CRP + AGP),ferritin < 12 ug/L
Gambia 2018,Gambia,2018,women_iron,women,serum ferritin,serum (venous),NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),sandwich ELISA (Erhardt),NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),VitMin Laboratory (Willstaett,NA; metadata/mn surveys/GNMS2018-Final-Report_190325 (2).pdf (pp. 34-35),"survey-provided, not harmonized (configured column gw_LogFerAdj); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),2.70805020110221,log,ug/L,R/config.R outcome definition,gw_wFER,gw_LogFerAdj,gw_wIDA_Brinda,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Gambia/Gambia_merged_dataset.rds,scripts/build_assay_lineage.R,Germany),BRINDA regression (CRP + AGP),ferritin < 15 ug/L
Ghana 2017,Ghana,2017,child_vitA,children,retinol-binding protein (RBP),serum (venous; -20 C then dry ice),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (2.7.2), Appendix 10 p. 121 (Claude from the report PDF; verify)",sandwich ELISA (Erhardt),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (2.7.2), Appendix 10 p. 121 (Claude from the report PDF; verify)",VitMin Laboratory (Germany); serum retinol and MRDR by HPLC at the Tanumihardjo laboratory (University of Wisconsin-Madison),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (2.7.2), Appendix 10 p. 121 (Claude from the report PDF; verify)",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_cRBP,gw_cRBPAdjThurn,gw_cVADAdjThurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors (BRINDA comparison in appendix),RBP < 0.70 umol/L,"slope 1.15 (RBP higher than retinol), R2 = 0.90, n = 300 children + women combined (Appendix 10); intercept in the figure"
Ghana 2017,Ghana,2017,women_vitA,women,retinol-binding protein (RBP),serum (venous),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31, 121 (Claude from the report PDF; verify)",sandwich ELISA (Erhardt),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31, 121 (Claude from the report PDF; verify)",VitMin Laboratory (Germany),"metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31, 121 (Claude from the report PDF; verify)",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_wRBP,gw_wRBPAdjThurn,gw_wVADAdjThurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,none (BRINDA guidance); Thurnham comparison in appendix,RBP < 0.70 umol/L,as above
Ghana 2017,Ghana,2017,child_iron,children,serum ferritin,serum (venous),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),sandwich ELISA (Erhardt),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),VitMin Laboratory (Germany),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column gw_cFerrAdjThurn); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),12,original,ug/L,R/config.R outcome definition,gw_cFerr,gw_cFerrAdjThurn,gw_cIDAdjThurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors (BRINDA comparison in appendix),ferritin < 12 ug/L,NA
Ghana 2017,Ghana,2017,women_iron,women,serum ferritin,serum (venous),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),sandwich ELISA (Erhardt),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),VitMin Laboratory (Germany),metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf; pp. 30-31 (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column gw_wFerrAdjThurn); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),15,original,ug/L,R/config.R outcome definition,gw_wFerr,gw_wFerrAdjThurn,gw_wIDA_Thurn,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors,ferritin < 15 ug/L,NA
Ghana 2017,Ghana,2017,women_folate,women,serum or plasma folate,serum (half of the women's samples),NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),Cobas e411 electrochemiluminescence (Roche),NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),USDA-ARS Western Human Nutrition Research Center (Davis,NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),10,original,nmol/L,R/config.R outcome definition,UNKNOWN,gw_wFolate,gw_wFolateDef,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,USA),none,NA
Ghana 2017,Ghana,2017,women_b12,women,serum vitamin B12,serum (half of the women's samples),NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),Cobas e411 electrochemiluminescence (Roche),NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),USDA-ARS Western Human Nutrition Research Center (Davis,NA; metadata/mn surveys/UoG-GroundWork_2017-GHANA-MICRONUTRIENT-SURVEY_Final_180607.pdf (p. 31),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),148,original,pmol/L,R/config.R outcome definition,UNKNOWN,gw_wB12,gw_wB12Def,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Ghana/Ghana_merged_dataset.rds,scripts/build_assay_lineage.R,USA),none,NA
