outcome,held_out,scorer,weighting,metric,original_selection,nested_selection,delta,lower_better,nested_better
child_vitA,Gambia,glm,equal_row,auc,0.6028579979051324,0.5908394433637587,-0.012018554541373683,FALSE,FALSE
child_vitA,Gambia,glm,equal_row,brier,0.16462033438003093,0.16626368206327125,0.0016433476832403149,TRUE,FALSE
child_vitA,Gambia,glm,equal_row,null_brier_train,0.1667053677915067,0.166802631052421,9.726326091430426e-5,FALSE,TRUE
child_vitA,Gambia,glm,equal_row,calib_slope,1.527396324642253,86.05769681215988,84.53030048751762,FALSE,TRUE
child_vitA,Gambia,glm,equal_row,n_scored,3,1,-2,FALSE,FALSE
child_vitA,Gambia,glm,equal_country,auc,0.6028579979051324,0.5908394433637587,-0.012018554541373683,FALSE,FALSE
child_vitA,Gambia,glm,equal_country,brier,0.16496232085949622,0.16669045872571142,0.0017281378662152014,TRUE,FALSE
child_vitA,Gambia,glm,equal_country,null_brier_train,0.1667053677915067,0.166802631052421,9.726326091430426e-5,FALSE,TRUE
child_vitA,Gambia,glm,equal_country,calib_slope,1.8537856372781267,2099.202608818951,2097.3488231816727,FALSE,TRUE
child_vitA,Gambia,glm,equal_country,n_scored,3,1,-2,FALSE,FALSE
child_vitA,Ghana,glm,equal_row,auc,0.5701061741613134,0.5887274125336409,0.018621238372327542,FALSE,TRUE
child_vitA,Ghana,glm,equal_row,brier,0.12906736351749074,0.7815668364618913,0.6524994729444006,TRUE,FALSE
child_vitA,Ghana,glm,equal_row,null_brier_train,0.12935211290596232,0.12928355928228555,-6.855362367677587e-5,FALSE,FALSE
child_vitA,Ghana,glm,equal_row,calib_slope,0.506868002590777,0.07378356163072834,-0.43308444096004867,FALSE,FALSE
child_vitA,Ghana,glm,equal_row,n_scored,3,6,3,FALSE,TRUE
child_vitA,Ghana,glm,equal_country,auc,0.5699787141837463,0.5894194540561323,0.019440739872385926,FALSE,TRUE
